sequencial;latitude;longitude;uf;cnl;facilidade;id_facilidade;provedor;id_provedor;entrega;abordado;custo_de_acesso_proprio;instalacao_terceiros;mensalidade_terceiros;tipo_terceiros;id_da_sev;prazo;bb_ip;hp_bsod;codigo_spe;sinalizacao_sip;protocolo_gaia;obs;justificativa;ID Justificativa;status
7608021;-10,98779;-37,071565;SE;AJU;FO EDD DIRETO CLARO;6;EMBRATEL;8;AJU IT;NAO;9797;;;;851164;;;;;;0;ESTACAO SEAJU77;;;1
7618117;-12,241709;-38,947187;BA;FSA;FO EDD DIRETO CLARO;6;EMBRATEL;8;SDR RC;NAO;20188,63931;;;;856607;;;;;;0;ESTACAO BAFSA57;;;1
7654273;-12,4347037;-38,9458414;BA;SGC;TERCEIROS ETH;26;VTAL - BA;446;SDR RC;NAO;;10506,53229;1026,686513;3;877470;;78496;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7654885;-5,53132;-47,45604;MA;ITZ;FO EDD ETH;7;EMBRATEL;8;SLS US;NAO;12042;;;;877868;;;;;;0;ESTACAO MAITZ15;;;1
7685973;-12,3618142;-38,8330411;BA;CJP;TERCEIROS ETH;26;VTAL - BA;446;SDR RC;NAO;;10506,53229;259,5553565;3;893095;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7695469;-28,45361;-48,97144;SC;CPVA;TERCEIROS ETH;26;VTAL - SC;465;FNS PO;NAO;;10404,47867;1713,258524;3;898439;;78497;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7695470;-20,7496235;-46,7491803;MG;IMS;TERCEIROS ETH;26;VTAL - MG;452;BHE ES;NAO;;10404,47867;1574,508682;3;898440;;78499;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7698442;-10,8275951;-36,9357069;SE;BQS;TERCEIROS ETH;26;VTAL - SE;466;AJU IT;NAO;;22290,32548;241,627976;3;899803;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7698468;-10,8275951;-36,9357069;SE;BQS;TERCEIROS ETH;26;VTAL - SE;466;AJU IT;NAO;;22290,32548;341,0838711;3;899828;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7698491;-10,8275951;-36,9357069;SE;BQS;TERCEIROS ETH;26;VTAL - SE;466;AJU IT;NAO;;22290,32548;507,4866623;3;899849;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7698733;-5,41660711;-47,5651941;MA;ITZ;TERCEIROS ETH;26;VTAL - MA;451;SLS US;NAO;;22018,60508;945,5212655;3;899983;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7698753;-5,41660711;-47,5651941;MA;ITZ;TERCEIROS ETH;26;VTAL - MA;451;SLS US;NAO;;22018,60508;945,5212655;3;899993;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7712615;-11,123518;-62,3707933;RO;URUW;TERCEIROS ETH;26;VTAL - RO;462;PVO FQ;NAO;;9913,716982;327,3005629;3;908379;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7718228;-22,8134843;-43,0707792;RJ;SGO;FO EDD CLARO PRE VIAVEL;5;EMBRATEL;8;RJO AM;NAO;17480,16379;;;;911902;;;;;;0;ESTACAO RJSGO39;;;1
7718229;-22,8134843;-43,0707792;RJ;SGO;FO EDD CLARO PRE VIAVEL;5;EMBRATEL;8;RJO AM;NAO;17480,16379;;;;911903;;;;;;0;ESTACAO RJSGO39;;;1
7718231;-22,8134843;-43,0707792;RJ;SGO;FO EDD CLARO PRE VIAVEL;5;EMBRATEL;8;RJO AM;NAO;17480,16379;;;;911905;;;;;;0;ESTACAO RJSGO39;;;1
7724087;-29,4408496;-49,9030244;RS;TCC;TERCEIROS ETH;26;VTAL - RS;464;PAE BV;NAO;;10404,47867;510,0825582;3;915274;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7724101;-11,7836842;-37,9546842;BA;ESA;TERCEIROS ETH;26;VTAL - BA;446;SDR RC;NAO;;10506,53229;599,8179325;3;915285;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7724132;-3,43578138;-39,1502872;CE;PWB;TERCEIROS ETH;26;VTAL - CE;447;FLA PV;NAO;;9913,716982;550,4278238;3;915306;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7724434;-10,083058;-38,3406635;BA;JRO;TERCEIROS ETH;26;VTAL - BA;446;SDR RC;NAO;;9913,716982;868,4422858;3;915450;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7724437;-12,2442242;-38,9856457;BA;FSA;TERCEIROS ETH;26;VTAL - BA;446;SDR RC;NAO;;9913,716982;1453,555094;3;915452;;78500;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7724442;-12,2442242;-38,9856457;BA;FSA;TERCEIROS ETH;26;VTAL - BA;446;SDR RC;NAO;;9913,716982;1026,686513;3;915454;;78501;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7734624;-21,2156;-43,7325;MG;BCA;TERCEIROS ETH;26;VTAL - MG;452;BHE ES;NAO;;11048,84306;4455,158901;3;924291;;78503;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7740895;-10,6949444;-48,3839245;TO;PXC;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;2060,341711;3;930033;;78504;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7740897;-10,6949444;-48,3839245;TO;PXC;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;3948,028043;3;930035;;78505;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7740966;-29,0742263;-53,8511415;RS;TPE;TERCEIROS ETH;26;VTAL - RS;464;PAE BV;NAO;;10404,47867;724,7826885;3;930071;;78506;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7740991;-28,41676;-54,93828;RS;SIA;TERCEIROS ETH;26;VTAL - RS;464;PAE BV;NAO;;11048,84306;724,7826885;3;930087;;78507;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7741145;-18,9187298;-47,0300392;MG;PTC;TERCEIROS ETH;26;VTAL - MG;452;BHE ES;NAO;;33156,7031;1574,508682;3;930168;;78508;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7744250;-30,1410779;-52,0024884;RS;BUA;TERCEIROS ETH;26;VTAL - RS;464;PAE BV;NAO;;11048,84306;467,2176949;3;932967;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7747364;-10,7150375;-62,25479;RO;OPO;TERCEIROS ETH;26;VTAL - RO;462;PVO FQ;NAO;;9913,716982;195,3393498;3;935336;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7748393;-12,7541812;-60,1034167;RO;VHA;TERCEIROS ETH;26;VTAL - RO;462;PVO FQ;NAO;;9913,716982;945,5212655;3;935789;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7748394;-12,7541812;-60,1034167;RO;VHA;TERCEIROS ETH;26;VTAL - RO;462;PVO FQ;NAO;;9913,716982;945,5212655;3;935790;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7748570;-19,723257;-40,374248;ES;JNV;TERCEIROS ETH;26;VTAL - ES;449;VTA JM;NAO;;22248,94848;433,0215086;3;935871;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7748598;-8,05589595;-37,2711892;PE;STN;TERCEIROS ETH;26;VTAL - PE;457;RCE AM;NAO;;22290,32548;424,5468808;3;935885;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7755956;-10,7370296;-48,4066548;TO;PXC;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;3948,028043;3;937856;;78510;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7755957;-10,7370296;-48,4066548;TO;PXC;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;2060,341711;3;937857;;78511;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7757266;-29,1471665;-51,1525022;RS;CSL;TERCEIROS ETH;26;VTAL - RS;464;PAE BV;NAO;;10404,47867;3219,018498;3;938101;;78512;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7757961;-9,46984159;-35,834791;AL;RGO;FO EDD CLARO PRE VIAVEL;5;EMBRATEL;8;MCO MS;NAO;18271,19728;;;;938204;;;;;;0;ESTACAO ALRGO03;;;1
7777077;-22,7366101;-46,1317663;MG;CDU;TERCEIROS ETH;26;VTAL - MG;452;BHE ES;NAO;;10404,47867;2273,291487;3;941192;;78513;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7791368;-17,9230074;-51,6900333;GO;JTI;TERCEIROS ETH;26;VTAL - GO;450;GNA RD;NAO;;9913,716982;868,4422858;3;952116;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7792596;-12,918389;-46,953278;TO;AAX;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;195,3393498;3;952963;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7792597;-8,823722;-49,557;TO;AGC;FO EDD DIRETO CLARO;6;EMBRATEL;8;PMJ SO;NAO;20628,79838;;;;952964;;;;;;0;ESTACAO TOAGC03;;;1
7801298;-8,88878;-36,493255;PE;GUS;TERCEIROS ETH;26;VTAL - PE;457;RCE AM;NAO;;9913,716982;2694,162294;3;954447;;78514;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7801299;-8,88878;-36,493255;PE;GUS;TERCEIROS ETH;26;VTAL - PE;457;RCE AM;NAO;;9913,716982;2694,162294;3;954448;;78515;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7804853;-9,0105;-35,2208;AL;MGI;TERCEIROS ETH;26;VTAL - AL;443;MCO MS;NAO;;9913,716982;362,5354238;3;956528;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7804855;-9,053308;-35,397733;AL;PCV;TERCEIROS ETH;26;VTAL - AL;443;MCO MS;NAO;;9913,716982;362,5354238;3;956530;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7804857;-9,3195869;-35,560517;AL;SLQ;TERCEIROS ETH;26;VTAL - AL;443;MCO MS;NAO;;9913,716982;362,5354238;3;956532;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7804859;-9,40359;-35,5117;AL;BNA;TERCEIROS ETH;26;VTAL - AL;443;MCO MS;NAO;;9913,716982;341,0838711;3;956534;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7806731;-9,53237519;-35,791001;AL;MCO;TERCEIROS ETH;26;VTAL - AL;443;MCO MS;NAO;;6504,158903;190,4906493;3;957525;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7806732;-9,53237519;-35,791001;AL;MCO;TERCEIROS ETH;26;VTAL - AL;443;MCO MS;NAO;;6504,158903;190,4906493;3;957526;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7807376;-19,92049;-43,919864;MG;BHE;TERCEIROS ETH;26;VTAL - MG;452;BHE ES;NAO;;9231,688669;409,1069142;3;957831;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7807479;-29,943088;-51,718699;RS;TRF;TERCEIROS ETH;26;VTAL - RS;464;PAE BV;NAO;;10404,47867;359,93828;3;957860;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7807508;-11,1714;-61,9028;RO;PYM;TERCEIROS ETH;26;VTAL - RO;462;PVO FQ;NAO;;9913,716982;424,5468808;3;957879;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7807835;-13,6628027;-59,80796;MT;CMZ;TERCEIROS ETH;26;VTAL - MT;456;CBA MC;NAO;;9913,716982;520,1150715;3;958151;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7808349;-6,0729706;-35,239453;RN;SII;TERCEIROS ETH;26;VTAL - RN;461;NTL JU;NAO;;9913,716982;341,0838711;3;958441;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7809139;-20,8312661;-43,805539;MG;CIY;TERCEIROS ETH;26;VTAL - MG;452;BHE ES;NAO;;10404,47867;310,5460588;3;958913;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7809610;-20,8312661;-43,8055394;MG;CIY;TERCEIROS ETH;26;VTAL - MG;452;BHE ES;NAO;;10404,47867;310,5460588;3;959177;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7809936;-23,311476;-51,148156;PR;LDA;FO EDD CLARO PRE VIAVEL;5;EMBRATEL;8;CTA MR;NAO;20766,54481;;;;959378;;78516;;;;0;ESTACAO PRLDA70;;;1
7811098;-21,9231;-46,3891;MG;CAD;TERCEIROS ETH;26;VTAL - MG;452;BHE ES;NAO;;10404,47867;528,5838385;3;960102;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7811805;-17,5360153;-39,7507078;BA;TAF;TERCEIROS ETH;26;VTAL - BA;446;SDR RC;NAO;;9913,716982;1026,686513;3;960537;;78517;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7812485;-11,658207;-39,006185;BA;SEH;TERCEIROS ETH;26;VTAL - BA;446;SDR RC;NAO;;9913,716982;4446,7985;3;960895;;78518;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7812816;-22,608961;-43,3020028;RJ;DQX;TERCEIROS ETH;26;VTAL - RJ;460;RJO AM;NAO;;9913,716982;871,6128341;3;961100;;78519;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814183;-12,0343771;-48,5401762;TO;PXE;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;424,5468808;3;962074;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814190;-11,7099184;-47,7287983;TO;NDD;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;424,5468808;3;962078;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814193;-12,9322713;-46,9443976;TO;AAX;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;424,5468808;3;962079;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814223;-9,56054919;-48,3901613;TO;MNE;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;927,9062956;3;962092;;78520;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814231;-7,33845856;-47,495812;TO;FLF;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;1721,242625;3;962100;;78521;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814233;-6,32759737;-47,4276042;TO;TNS;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;1721,242625;3;962102;;78522;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814236;-12,0343771;-48,5401762;TO;PXE;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;1180,106692;3;962105;;78523;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814237;-11,7099184;-47,7287983;TO;NDD;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;1180,106692;3;962106;;78524;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814240;-5,64754594;-48,1204233;TO;AGN;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;927,9062956;3;962109;;78525;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814244;-5,46839629;-47,8833686;TO;AIO;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;1721,242625;3;962113;;78526;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814246;-12,9322713;-46,9443976;TO;AAX;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;1180,106692;3;962115;;78527;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814247;-10,710556;-48,41025;TO;PXC;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;1305,384767;3;962116;;78528;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814251;-12,4805638;-49,1248741;TO;AVO;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;1180,106692;3;962120;;78529;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814254;-8,81991211;-49,5603253;TO;AGC;FO EDD DIRETO CLARO;6;EMBRATEL;8;PMJ SO;NAO;9797;;;;962123;;78530;;;;0;ESTACAO TOAGC03;;;1
7814256;-11,8014452;-49,5284981;TO;FOR;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;927,9062956;3;962125;;78531;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815130;-7,23040084;-39,3855566;CE;CTO;TERCEIROS ETH;26;VTAL - CE;447;FLA PV;NAO;;9913,716982;1721,242625;3;962624;;78532;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815145;-7,23040084;-39,3855566;CE;CTO;TERCEIROS ETH;26;VTAL - CE;447;FLA PV;NAO;;9913,716982;2497,719497;3;962630;;78533;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815146;-7,23040084;-39,3855566;CE;CTO;TERCEIROS ETH;26;VTAL - CE;447;FLA PV;NAO;;9913,716982;2497,719497;3;962631;;78534;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815147;-7,23040084;-39,3855566;CE;CTO;TERCEIROS ETH;26;VTAL - CE;447;FLA PV;NAO;;9913,716982;4050,673239;3;962632;;78535;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815148;-7,23040084;-39,3855566;CE;CTO;TERCEIROS ETH;26;VTAL - CE;447;FLA PV;NAO;;9913,716982;4050,673239;3;962633;;78536;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815153;-12,7896557;-38,4758544;BA;SDR;TERCEIROS ETH;26;VTAL - BA;446;SDR RC;NAO;;6504,158903;625,4441546;3;962636;;78537;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815154;-12,7896557;-38,4758544;BA;SDR;TERCEIROS ETH;26;VTAL - BA;446;SDR RC;NAO;;6504,158903;850,5930647;3;962637;;78538;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815155;-12,7896557;-38,4758544;BA;SDR;TERCEIROS ETH;26;VTAL - BA;446;SDR RC;NAO;;6504,158903;1301,201055;3;962638;;78539;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815353;-25,5497018;-54,585856;PR;FOZ;TERCEIROS ETH;26;VTAL - PR;459;CTA MR;NAO;;10404,47867;1214,213798;3;962744;;78540;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815357;-5,20221104;-39,2840603;CE;QXM;TERCEIROS ETH;26;VTAL - CE;447;FLA PV;NAO;;10506,53229;676,1444096;3;962746;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815362;-25,4834999;-54,4925101;PR;FOZ;TERCEIROS ETH;26;VTAL - PR;459;CTA MR;NAO;;22297,01258;1214,213798;3;962748;;78541;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815370;-3,77875453;-38,5405557;CE;FLA;FO EDD DIRETO CLARO;6;EMBRATEL;8;FLA PV;NAO;29746,78813;;;;962753;;;;;;0;ESTACAO CEAER01;;;1
7815388;-7,06319341;-34,8560637;PB;CBD;TERCEIROS ETH;26;VTAL - PB;455;JPA TR;NAO;;9913,716982;3948,028043;3;962762;;78543;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815389;-7,06319341;-34,8560637;PB;CBD;TERCEIROS ETH;26;VTAL - PB;455;JPA TR;NAO;;9913,716982;3948,028043;3;962763;;78544;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815408;-22,7232406;-43,7100828;RJ;SERP;TERCEIROS ETH;26;VTAL - RJ;460;RJO AM;NAO;;10168,7189;482,7858426;3;962774;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815409;-22,7232406;-43,7100828;RJ;SERP;TERCEIROS ETH;26;VTAL - RJ;460;RJO AM;NAO;;10168,7189;482,7858426;3;962775;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
